question_number,category,question,options
44,حقوق تجارت,اثر ثبت نام اشخاص در دفتر ثبت تجاری چیست؟,1) به طور قطعی و غیر قابل انکار دلیل تاجر شناخته شدن شخص است. | 2) قاضی را مکلف به تاجر شناختن شخص و رد دعوی اعسار خواهد کرد. | 3) اماره ای بر تاجر بودن شخص ایجاد می کند. | 4) تأثیری در تاجر شناخته شدن شخص ندارد.
45,حقوق تجارت,کدام مورد در خصوص «اضافه ارزش سهام» که هنگام افزایش سرمایه شرکت سهامی دریافت می شود صحیح است؟,1) باید نقداً بین سهامداران شرکت تقسیم شود. | 2) باید به اندوخته اختیاری یا قانونی منتقل شود. | 3) باید به اندوخته قانونی منتقل شود. | 4) ممکن است به اندوخته اختیاری منتقل شود.
46,حقوق تجارت,در خصوص مسئولیت حقوقی دلالی که در نفس معامله منتفع میباشد و این موضوع را به طرف مقابل اطلاع نمیدهد. کدام مورد اصولاً صحیح است؟,1) مسئول خسارت وارده بوده و با آمر خود متضامناً مسئول اجرای تعهد است. | 2) مسئول خسارت وارده بوده و با آمر خود متساویاً مسئول اجرای تعهد است . | 3) فقط مسئول خسارت وارده است. | 4) با آمر خود، متضامناً مسئول اجرای تعهد است.
47,حقوق تجارت,مطابق مقررات قانون تجارت در خصوص مفقودی برات کدام یک از موارد زیر اصولاً نیازی به دادن ضامن و دخالت دادگاه ندارد؟,1) گم شدن براتی که قبول شده و در یک نسخه صادر شده است. | 2) گم شدن براتی که قبول نشده و در چند نسخه صادر شده است. | 3) گم شدن نسخه قبول شده براتی که در چند نسخه صادر شده است. | 4) گم شدن براتی که در یک نسخه صادر شده و قبول نشده است .
48,حقوق تجارت,در صورتی که به موجب تصمیم مجمع عمومی عادی شخصی که کارمند رسمی دولت است به عنوان عضو هیئت مدیره یک شرکت سهامی خصوصی انتخاب شود حکم قانونی آن چیست؟,1) هر ذی نفعی می تواند بطلان مصوبه مجمع عمومی ناظر به انتخاب چنین مدیری را از دادگاه درخواست کند. | 2) اگر مدیر مزبور در مدت یک ماه موافقت دستگاه متبوع را اخذ نکند و تعداد سهام لازم به عنوان وثیقه را به صندوق شرکت نسپارد مستعفی شناخته می شود. | 3) دادگاه به تقاضای هر ذی نفع حکم عزل این مدیر را صادر خواهد کرد . | 4) ضمانت اجرای قانونی آن صرفاً این است که یکی از اعضای علی البدل جایگزین وی می شود.
49,حقوق تجارت,در صورتی که مجمع عمومی عادی به طور فوق العاده شرکت سهامی، بازرس اصلی شرکت را بدون تعیین جانشین، عزل کند، حکم قانونی آن چیست؟,1) هر ذی نفعی می تواند ابطال تصمیم مجمع عمومی یاد شده را از دادگاه تقاضا کند. | 2) بازرس علی البدل به صورت اتوماتیک جانشین او می شود . | 3) در صورت وجود بازرس على البدل، مصوبه یادشده معتبر است و گرنه هر ذی نفعی می تواند ابطال تصمیم مجمع عمومی را از دادگاه تقاضا کند . | 4) فقط بازرس معزول می تواند ابطال تصمیم مجمع عمومی یادشده را از دادگاه تقاضا کند.
50,حقوق تجارت,کدام مورد در خصوص تبدیل شرکت تجاری موجود به نوع دیگر در حقوق موضوعه ایران، صحیح است؟,1) تبدیل شرکت تضامنی یا نسبی به شرکت با مسئولیت محدود مجاز نیست. | 2) صرفا تبدیل شرکتهایی که در قانون تجارت تصریح شده است مجاز است . | 3) در صورت تبدیل شرکت تضامنی به شرکت سهامی خاص مسئولیت شرکای شرکت در قبال طلبکاران زمان تبدیل کماکان تضامنی است | 4) تبدیل هر یک از شرکتهای تجاری به نوع دیگر منوط به موافقت تمامی شرکانت
51,حقوق تجارت,برای انتشار اعلامیه پذیره نویسی یک شرکت سهامی عام با سرمایه  20میلیارد ریال کدام یک از مستندات زیر ضرورت دارد؟,1) فقط اجازه انتشار اعلامیه پذیره نویسی توسط مرجع ثبت شرکتها و تسلیم آن به سازمان بورس و اوراق بهادار | 2) گواهی معافیت از ثبت نزد سازمان بورس و اوراق بهادار و اجازه انتشار اعلامیه پذیره نویسی توسط مرجع ثبت شرکتها | 3) موافقتنامه سازمان بورس و اوراق بهادار و اجازه انتشار اعلامیه پذیره نویسی توسط مرجع ثبت شرکت | 4) فقط اجازه انتشار اعلامیه پذیره نویسی توسط سازمان بورس و اوراق بهادار و تسلیم آن به مرجع ثبت شرکت ها
52,حقوق تجارت,کدام مورد در خصوص تأثیر متقابل ورشکستگی شرکت تجاری و شریک شرکت، صحیح است؟,1) ورشکستگی شریک شرکت تضامنی هیچ تاثیری در وضعیت قانونی شرکت نخواهد داشت. | 2) ورشکستگی شرکت سهامی به هیچ وجه عملاً منجر به ورشکستگی شریک آن نمی شود. | 3) در صورتی که شریک شرکت توان پرداخت دیون تادیه نشده شرکت تضامنی ورشکسته را نداشته باشد، لزوما حکم ورشکستگی وی صادر شود. | 4) ورشکستگی سهامدار شرکت سهامی عام هیچ تأثیری در وضعیت شرکت نداشته و امکان ورشکستگی شرکت به این دلیل منتفی است .
53,حقوق تجارت,در مبایعه نامه ای شرط شده است که چک شماره فلان بابت قسط آخر ثمن معامله پس از انتقال سند رسمی ملک به نام خریدار قابل مطالبه است در صورتی که چک در سررسید برگشت بخورد آیا صادر کننده می تواند در برابر دارنده چک به شرط مزبور استناد کند؟,1) در مقابل دارنده بلافصل، آری | 2) فقط در صورتی که چک انتقال یافته و دارنده از شرط مزبور آگاه باشد. | 3) در هر حال قابل استناد است. | 4) در هر حال قابل استناد نیست
54,حقوق تجارت,کدام مورد در خصوص احکام قانونی چک صحیح نیست؟,1) در صورتی که چک از طرف تاجر یا برای امور تجارتی صادر نشده باشد مزایای قانونی سند تجاری زایل نمی شود. | 2) انتقال چک صیادی که در وجه شخص معین صادر شده است نیازی به امضای ظهرنویس ندارد . | 3) در صورتی که دارنده چک را ظرف 6 ماه از تاریخ چک برگشت نزند حق رجوع به ضامن و ظهرنویسان چک را ندارد. | 4) در صورتی که چک از طرف تاجر یا برای امور تجارتی صادر نشده باشد مشمول مرور زمان 5  ساله ماده 318 ق.ت نیست .
55,حقوق تجارت,کدام مورد در خصوص چک صیادی که منجر به صدور گواهی عدم پرداخت شده صحیح نیست؟,1) دارنده می تواند با رعایت شرایط قانونی از دادگاه درخواست صدور اجرائیه کند . | 2) نسبت به چکهایی که مشروط باشد اجرائیه در دادگاه صادر نمی شود. | 3) موجودی تمامی حسابهای صادر کننده در هر بانکی که باشد معادل وجه چک مسدود می شود . | 4) خسارت تأخیر تأدیه از تاریخ سررسید و بر اساس شاخص ماهیانه قابل وصول است.
56,حقوق تجارت,کدام مورد در خصوص حکم ورشکستگی صحیح نیست؟,1) با صدور حکم ورشکستگی دعاوی انفرادی طلبکاران علیه ورشکسته غیر قابل استماع می شود . | 2) حکم ورشکستگی قطعی است و به طور موقت اجرا می شود | 3) حکم  ورشکستگی   نه  فقط نسبت به طلبکاران تاجر، بلکه نسبت به تمامی  اشخاصی  که با تاجر  رابطه معاملاتی  داشتهاند، مؤثر است | 4) تمامی عملیات اجرایی مربوط به وصول طلب بستانکاران در فاصله تاریخ توقیف و تاریخ صدور حکم، کان لم یکن می شود.
57,حقوق تجارت,کدام یک از اعمال حقوقی تاجر ورشکسته پس از صدور حکم ورشکستگی نافذ نیست؟,1) قرارداد استخدام و کار در یک شرکت خصوصی | 2) فروش اتومبیل متعلق به مولی علیه به نام وی | 3) واگذاری یک ساله حق انتفاع آپارتمان مسکونی به یکی از بستگان واجب النفقه تاجر ورشکسته | 4) قبول صلح بلاعوض منافع یک ساله آپارتمان مسکونی متعلق به برادر ورشکسته
58,حقوق تجارت,سند تجاری به مبلغ ده میلیون ریال صادر شده است و در ظهر آن مبلغ سند توسط صادر کننده تصحیح و مجدداً امضا شده است در این صورت کدام مبلغ مناط اعتبار است؟,1) اگر هر دو مبلغ به حروف باشد مبلغ کمتر مناط اعتبار است. | 2) اگر یک مبلغ به حروف و دیگری به عدد باشد مبلغ حروفی مناط اعتبار است. | 3) مبلغ مندرج در روی سند تجاری | 4) مبلغ مندرج در ظهر سند تجاری
59,حقوق تجارت,کدام مورد در خصوص گواهینامه موقت سهم، صحیح است؟,1) مادامی که شرکت سهامی به ثبت نرسیده باشد. شرکت باید به صاحبان سهام گواهینامه موقت بدهد. | 2) سند قابل معامله ای است که بیانگر تعداد سهام دارنده آن در شرکت است. | 3) در صورتی که مبلغ اسمی سهام تماماً پرداخت نشده باشد انتقال دهنده و انتقال گیرنده گواهینامه موقت سهام متضامناً مسئول پرداخت بقیه مبلغ اسمی آن خواهند بود. | 4) در صورتی که مبلغ اسمی سهام تماماً پرداخت نشده باشد انتقال دهنده و انتقال گیرنده گواهینامه موقت سهام مشترکاً مسئول پرداخت بقیه مبلغ اسمی آن خواهند بود.
60,حقوق تجارت,پس از انتشار صورت مطالبات تصدیق شده توسط اداره تصفیه طلبکاران چه اقدامی می توانند انجام دهند؟,1) ظرف 20 روز می توانند به رد طلب یا حق رجحان خود یا قبول طلب یا حق رجحان دیگری اعتراض کنند. | 2) ظرف 10 روز می توانند به رد طلب یا حق رجحان خود یا قبول طلب یا حق رجحان دیگری اعتراض کنند | 3) ظرف 10 روز می توانند فقط به رد طلب یا حق رجحان خود اعتراض کنند. | 4) ظرف 20 روز می توانند فقط به رد طلب یا حق رجحان خود اعتراض کنند.
81,حقوق جزا,یک فرانسوی در خاک آلمان امضای وزیر دادگستری ایران را جعل میکند و در آلمان از آن استفاده می کند وی در آلمان دستگیر و مجازات قانونی را تحمل می کند.حال کدام مورد در خصوص ایشان صحیح است؟,1) مجدداً در ایران قابل محاکمه است و صرفاً در تعیین مجازات تعزیری میزان محکومیت اجرا شده در آلمان محاسبه میشود. | 2) با توجه به محاکمه محکومیت و اجرای مجازات در آلمان امکان محاکمه مجدد و مجازات مضاعف وجود ندارد. | 3) صرفا در صورتی که در ایران یافت شود یا به ایران مسترد شود امکان محاکمه و محکومیت مجدد با احتساب مجازات   اجرا شده در  آلمان وجود  دارد. | 4) محاکمه و محکومیت مجدد بدون در نظر گرفتن و احتساب میزان محکومیت اجرا شده در آلمان، حتی به شکل غیابی امکان پذیر است.
82,حقوق جزا,سربازی در جبهه جنگ در حالی که در محاصره دشمن ،است برای اینکه بیسیم در اختیار وی و اطلاعات محرمانه درون آن به دست دشمن نیفتد بیسیم را تخریب میکند سرباز از چه دفاعی در مقابل جرم تخریب اموال نظامی در حقوق ایران میتواند استفاده کند؟,1) امر آمر قانونی | 2) اجبار | 3) اجرای قانون اهم | 4) دفاع مشروع
83,حقوق جزا,کدام جرایم زیر قابل گذشت محسوب میشوند؟,1) خیانت در امانت و سوء استفاده از سفید مهر | 2) کلاهبرداری زیر یک صد میلیون تومان و سرعت زیر بیست میلیون تومان | 3) توهین به زنان در معابر | 4) تمامی مصادیق جرایم جعل
84,حقوق جزا,جرم غیر عمد که باعث صدمه به شخصی شده به شخصی حقوقی منتسب است. کدام مجازاتها قابل اعمال بر شخص  حقوق ی است؟,1) تنها دیه و جزای نقدی | 2) شخص حقوقی برای جرایم غیر عمد مسئولیتی ندارد . | 3) تنها جزای نقدی | 4) دیه و انتشار حکم محکومیت
85,حقوق جزا,کدام مورد در خصوص مجازاتهای تکمیلی و تبعی، صحیح است؟,1) عفو خصوصی مجازات تبعی را زائل کرده ولی در مجازات تکمیلی بی تاثیر است | 2) مجازات تکمیلی بدون حداقل و دارای حداکثر میباشد اما میزان مجازات تبعی ثابت است. | 3) هر دو نوع مجازات قابل تخفیف هستند. | 4) هر دو نوع مجازات در همه جرایم قابل اعمال هستند.
86,حقوق جزا,کدام مجازات تعزیری زیر در مقام تخفیف قابل تبدیل به مجازات دیگر نیست؟,1) مصادره اموال | 2) محرومیت از حقوق اجتماعی | 3) حبس درجه 3 | 4) شلاق درجه 6
87,حقوق جزا,در صورت وجود سابقه محکومیت کیفری مؤثر فرد از کدام نهاد میتواند برخوردار شود؟,1) حکم به معافیت از کیفر | 2) تعلیق اجرای مجازات | 3) آزادی مشروط | 4) تعویق صدور حکم
88,حقوق جزا,در صورتی که مرتکب در مدت تعویق صدور حکم به دستورات دادگاه پایبندی کامل داشته باشد پس از پایان مدت کدام یک حسب مورد قابل صدور است؟,1) حکم به معافیت از کیفر | 2) پرونده بدون هیچ تصمیمی بایگانی می شود . | 3) قرار منع تعقیب | 4) قرار موقوفی
89,حقوق جزا,شخصی مرتکب جرم غیر عمد «الف» با کیفر  2 تا 10 سال حبس، جرایم عمدی «ب» با کیفر شش ماه حبس و «ج» با کیفر یک تا دو میلیون ریال جزای نقدی و «د» با مجازات تا 99 ضربه شلاق شده است، مجازات وی چگونه تعیین می شود؟,1) برای جرایم «ب»، «ج» و «د» به میانگین حداقل و حداکثر تا حداکثر مجازات رأی داده و جرم  الف  به جهت  غیر  عمد بودن مشمول تعدد نشده و به  حداقل  مجازات حکم  داده  میشود . | 2) برای جرم «الف» دادگاه حداقل مجازات را تشدید مینماید و برای جرایم «د» و «ب» میتواند حداکثر مجازات را تا یک ششم تشدید کرده و جرم «ج» مشمول تعدد جرم نمی شود . | 3) برای تمامی جرایم به حداکثر مجازات حکم داده و میتواند تا یک ششم حداکثر مجازات آنها را تشدید نماید. | 4) برای  جرایم «الف» «ب»  و «د»  به  حداکثر   مجازات حکم داده و برای جرم «ج» میتواند مجازات را تا یک‌ششم حداکثر تشدید نماید .
90,حقوق جزا,مجازات معاون در اسیدپاشی چه مقدار است؟,1) به حبس درجه 1 یا 2 محکوم می شود. | 2) مشابه مرتکب جرم مجازات میشود. | 3) به مجازات های خاص مقرر در قانون مجازات اسیدپاشی و حمایت از بزه دیدگان ناشی از آن محکوم می شود . | 4) طبق قواعد عمومی معاونت در قانون مجازات اسلامی مجازات میشود.
91,حقوق جزا,«الف» مبادرت به حفاری و کاوش به قصد به دست آوردن اموال تاریخی مینماید لیکن هیچ مال تاریخی به دست نمی آورد. وصف رفتار وی چیست؟,1) جرم نام حفاری و کاوش | 2) مرتکب جرم نشده است. | 3) جرم عقیم | 4) شروع به جرم
92,حقوق جزا,فردی   نسبت به پلاک  ثبت ی متعلق به منابع طبیع ی  درخواست آگه ی  ثبت ی  میکند کارمند ثبت به رغم اطلاع از  وضعیت  پلاک  ثبتی تصرفات مالکانه ایشان را تایید و  در فرایند انتشار آگه ی قرار  میدهد با طرح  شکایت  در مرجع قضای ی اعمال ارتکاب ی کارمند ثبت چه  وصف ی  دارد؟,1) مشمول وصف مجرمانه گزارش خلاف واقع است | 2) رفتار ارتکابی در حکم کلاهبرداری است | 3) در حکم جعل اسناد   رسم ی  است. | 4) فاقد وصف مجرمانه و صرفاً تخلف انتظامی است.
93,حقوق جزا,«الف» قصد کشتن «ب» را که محقون الدم است دارد. تیر «الف» کمانه کرده و به «ج» اصابت کرده و باعث قتل «ج» می شود. در دو فرضی که «ج» محقون الدم یا مهدورالدم باشد و با فرض اثبات این امور، کدام مورد در خصوص نوع  قتل صحیح است؟,1) اگر «ج» مهدورالدم باشد خونش هدر است و اگر محقون الدم باشد قتل عمدی محسوب می شود. | 2) در هر دو قرض فوق قتل شبه عمد محسوب می شود . | 3) در فرضی که «ج» مهدورالدم باشد قتل خطای محض و در فرض محقون الدم قتل شبه عمد محسوب میشود. | 4) اگر «ج» مهدورالدم ،باشد خونش هدر است و اگر محقون الدم ،باشد قتل شبه عمدی محسوب می شود.
94,حقوق جزا,«الف» بدافزاری تولید کرده که کارایی ظاهری آن ضبط صدا است ولیکن پس از نصب تمام اطلاعات سیستم رایانه ای قربانی برای «الف» ارسال میشود. در صورتی که پس از ارسال این بدافزار به «ب»، وی آن را نصب کرده و تمام اطلاعات سیستم «ب» به «الف» ارسال شود «الف» برای کدام جرم (جرایم) زیر قابل تعقیب است؟,1) تخریب و سرقت رایانه ای | 2) سرقت رایانه ای | 3) شنود غیر مجاز و سرقت رایانه ای | 4) شنود غیر مجاز
95,حقوق جزا,«الف» مبادرت به انعقاد قراردادی برای انجام کاری با «ب» مینماید و مبلغ یک میلیارد تومان بیعانه اخذ میکند. لیکن به عمد و با وجود توانایی از انجام کار سرباز میزند در صورتی که «ب» اظهارنامه برای عودت پول به «الف» بدهد ولیکن «الف» با یک میلیارد مذکور دو ماشین خریداری نماید وی مرتکب چه جرمی (جرایمی) شده است؟,1) تحصیل مال به طریق نامشروع و پولشویی | 2) هیچ گونه جرمی مرتکب نشده است. | 3) پولشویی | 4) خیانت در امانت
96,حقوق جزا,قاضی دادگاه در جلسه رسیدگی از کارشناس رسمی دادگستری برای رفع ابهام میزان خسارت وارده را پرسش می کند. کارشناس میزان خسارت را 100 میلیون تومان اعلام ولی قاضی به عمد در صورت جلسه  500 میلیون تومان درج میکند قاضی تحت چه عنوانی قابل تعقیب است؟,1) جعل مفادی | 2) گزارش خلاف واقع | 3) جعل مادی اسناد رسمی | 4) اساساً مرتکب جرم نشده و صرفاً تخلف انتظامی است.
97,حقوق جزا,بر کدام یک از اشخاص زیر مجازات کلاهبرداری اعمال نمی شود؟,1) اشخاصی که با یکدیگر برای بردن مال غیر تبانی کرده و بر همدیگر اقامه دعوی کنند . | 2) شخصی که منافع ملک خود را پس از اجاره به دیگری منتقل میکند | 3) شخصی که با توسل به شیوههای متقلبانه مبادرت به دریافت دسته چک غیر متناسب با اوضاع مالی و اعتباری خود کرده است. | 4) شخصی که به عنوان ثالث وارد دعوایی شده و این اقدام ناشی از تبانی با یکی از اصحاب دعوی برای بردن مال طرف دیگر باشد.
98,حقوق جزا,آقای «الف» نماینده قانونی شرکت »ب« به جهت تسهیل در اخذ وام دولتی مرتکب رشا با مجازات تعزیری درجه 3 میشود اما در حین رسیدگی نسبت به عملکرد خود احساس ندامت و پشیمانی کرده و توبه می کند. قاضی ندامت و اصلاح را در وی احراز می نماید. وضعیت تعیین کیفر نسبت به مرتکب و شخص حقوقی به چه نحو خواهد بود؟,1) دادگاه میتواند با احراز پشیمانی و توبه نماینده قانونی مجازات شخص حقیقی و حقوقی را به صورت توامان تخفیف دهد . | 2) در قلمرو جرایم علیه آسایش عمومی اساساً قابلیت استناد به توبه وجود ندارد. | 3) دادگاه مکلف است با احراز پشیمانی و توبه نماینده قانونی مجازات شخص حقیقی و حقوقی را به صورت توامان تخفیف دهد. | 4) دادگاه میتواند فقط مجازات شخص حقیقی را تخفیف دهد و در مورد شخص حقوقی به جهت توبه از چنین اختیاری برخوردار نیست.
99,حقوق جزا,پسر شانزده ساله ای مرتکب جرم ضرب و جرح عمدی با مجازات تعزیری درجه  6 شده است. دادگاه مجازات تعزیری او را برای یک سال معلق می کند در 17 سالگی مرتکب جرم رانندگی بدون پروانه با مجازات تعزیری درجه  6 می شود. کدام مورد زیر صحیح است؟,1) امکان تخفیف مجازات جرم دوم وجود ندارد ولیکن مشمول تکرار جرم نیز نمی شود . | 2) امکان صدور قرار تعویق صدور حکم وجود دارد. | 3) شخص به حداکثر مجازات مقرر برای جرم دوم که نسبت به توجوانان قابل اعمال است محکوم می شود. | 4) به دلیل تکرار و عدم انقضای یک سال امکان بهره از نهادهای ارفاقی در چنین وضعیتی وجود ندارد.
100,حقوق جزا,مردی با جعل سند ملک همسر خود را به عنوان مال خود معرفی و این سند مجعول را به پسر خود که با مشاهده سند تصور میکند ملک متعلق به پدرش است میفروشد و مبلغ یک میلیارد تومان دریافت می کند. رفتار پدر مشمول کدام مورد است؟,1) اقدامات پدر نسبت به مال فرزند و برای فرزند فاقد وصف کیفری است | 2) مجموع اعمال ارتکابی مشمول عنوان مجرمانه تحصیل مال از طریق نامشروع است. | 3) تعدد معنوی | 4) تعدد مادی
101,آیین دادرسی کیفری,رسیدگی به جرم قتل غیر عمدی ناشی از تصادفات رانندگی و صدور حکم در خصوص این جرم در صلاحیت کدام دادگاه است؟,1) دادگاه صلح | 2) دادگاه کیفری دو | 3) دادگاه کیفری یک | 4) شورای حل اختلاف
102,آیین دادرسی کیفری,کدام مورد در خصوص آرای اصداری راجع به جنبه عمومی جرایم غیر عمدی ناشی از کار، صحیح است؟,1) صرفاً در صورتی که مجازات قانونی آن تعزیر درجه هشت باشد قطعی است. | 2) در صورتی که مجازات قانونی آن تعزیر درجه شش یا بیشتر باشد، قابل تجدید نظر است. | 3) مطلقاً قابل تجدید نظر است. | 4) قطعی و غیر قابل تجدید نظر است.
103,آیین دادرسی کیفری,در کدام یک از جرایم زیر امکان جلب مطلق و بدون شرط متهم پرونده بدون ارسال احضاریه وجود ندارد؟,1) جرایم مستوجب سلب حیات | 2) جرایم مستوجب حبس ابد | 3) جرایمی که مجازات قانونی آنها قطع عضو است. | 4) جرایم مستوجب تعزیر درجه دو و سه
104,آیین دادرسی کیفری,مرجع حل اختلاف در صلاحیت بین دادگاه کیفری دو و دادگاه حقوقی واقع در حوزه قضایی یک استان کدام مرجع  قضایی است؟,1) دادگاه تجدیدنظر استان | 2) اساساً اختلاف در صلاحیت در فرض پرسش محقق نیست | 3) دیوان عالی کشور | 4) حسب مورد دیوان عالی کشور یا دادگاه تجدیدنظر استان
105,آیین دادرسی کیفری,چنانچه ضابط دادگستری فاقد کارت ویژه ضابطان در ارتباط با جرایم مشهود یا در راستای اجرای دستور مقام قضایی و در مقام ضابط مرتکب جرم شود رسیدگی به جرم ارتکابی در صلاحیت کدام مرجع قضایی است؟,1) حسب مورد دادگاه کیفری یا دادگاه بخش | 2) حسب مورد دادگاه نظامی یک یا دو | 3) دادگاه نظامی یک | 4) دادگاه نظامی دو
106,آیین دادرسی کیفری,در جرایم غیر قابل گذشت چنانچه پس از صدور کیفرخواست و قبل از ارسال به دادگاه، شاکی گذشت قطعی خود را اعلام کند دادستان کدام اقدام زیر را میتواند انجام دهد؟,1) صدور قرار تعلیق تعقیب متهم در صورت وجود شرایط قانونی الزامی است. | 2) ضمن عدول از کیفرخواست قرار موقوفی تعقیب متهم را صادر میکند | 3) در صورت فراهم بودن شرایط ،قانونی امکان عدول از کیفر خواست و صدور قرار تعلیق تعقیب متهم را دارد. | 4) امکان عدول از کیفرخواست قبلی و صدور قرار تعلیق تعقیب متهم را ندارد .
107,آیین دادرسی کیفری,کدام مورد در خصوص تبعیت دادگاه رسیدگی کننده به امور حقوقی یا ضرر و زیان ناشی از جرم از رأی دادگاه کیفری  صحیح  است؟,1) چنانچه رأی دادگاه کیفری قطعی باشد لازم الاتباع است. | 2) چنانچه رای ،کیفری قطعی و مؤثر در ماهیت امر حقوقی باشد لازم الاتباع است. | 3) لازم الاتباع نیست. | 4) مطلقاً لازم الاتباع است.
108,آیین دادرسی کیفری,در کدام یک از جرایم مشهود زیر در صورت عدم حضور ضابطان دادگستری شهروندان نمی توانند اقدامات لازم را  برای جلوگیری از قرار  متهم و  حفظ  صحنه جرم انجام  دهند؟,1) جرایم موجب مجازات قطع عضو | 2) جنایت عمدی علیه تمامیت جسمانی با میزان نصف دیه کامل یا بیش از آن | 3) جرایم موجب تعزیر درجه سه | 4) جرایم سیاسی و مطبوعاتی
109,آیین دادرسی کیفری,کدام یک از قرارهای دادیار باید در همان روز صدور به نظر دادستان برسد؟,1) صرفاً قرار بازداشت موقت متهم | 2) صرفاً قرارهای نهایی دادیار | 3) قرارهای نهایی دادیار و قرار تأمین منتهی به بازداشت متهم | 4) فقط قرار تأمین منتهی به بازداشت متهم
110,آیین دادرسی کیفری,ضبط اموال یا اشیا از اختیارات کدام مرجع قضایی است؟,1) دادگاه | 2) حسب مورد بازپرس یا دادستان یا دادگاه | 3) بازپرس | 4) دادستان
111,آیین دادرسی کیفری,اگر دختر 15 سالهای مرتکب جرم تعزیری درجه سه در صلاحیت ذاتی دادگاه انقلاب شود جهت رسیدگی به جرم  ارتکابی کدام دادگاه صالح است؟,1) دادگاه اطفال و نوجوانان | 2) دادگاه کیفری یک ویژه رسیدگی به جرایم نوجوانان | 3) دادگاه انقلاب دادگاه کیفری دو
112,آیین دادرسی کیفری,کدام مورد در خصوص قرار عدم صلاحیت اصداری از دادگاه کیفری یک صحیح است؟,1) از نظر شاکی یا مدعی خصوصی قابل تجدید نظر است. | 2) از سوی دادستان و شاکی یا مدعی خصوصی قابل تجدید نظر است. | 3) قطعی و غیر قابل تجدید نظر است | 4) صرفاً از ناحیه دادستان قابل تجدیدنظر است.
113,آیین دادرسی کیفری,ابتلای به جنون محکوم علیه در جرایم تعزیری پس از صدور حکم قطعی چه تأثیری بر اجرای حکم دارد؟,1) تا زمان افاقه اجرای حکم به تعویق می افتد | 2) اجرای حکم موقوف میشود. | 3) اجرای حکم موقوف میشود و قاضی اجرای احکام کیفری قرار موقوفی تعقیب صادر  میکند. | 4) اجرای حکم موقوف میشود و قاضی صادر کننده حکم قرار موقوفی تعقیب صادر میکند.
114,آیین دادرسی کیفری,تعیین وکیل تسخیری برای اطفال و نوجوانان در کدام یک از جرایم الزامی نیست؟,1) تنها در جرایم تعزیری درجه 8 | 2) در تمامی جرایم الزامی است . | 3) در جرایم تعزیری درجه  7  و  8 و در جرایم مستلزم پرداخت دیه یا ارش به میزان خمس دیه کامل یا کمتر از آن | 4) در جرایم تعزیری درجه 7 و 8  و در جرایم مستلزم پرداخت دیه یا ارش به میزان نصف دیه کامل یا کمتر از آن
115,آیین دادرسی کیفری,کدام مورد در خصوص صدور قرار کفالت و وثیقه در جرایم غیر عمدی، صحیح است؟,1) در صورتی که به تشخیص مقام قضایی تضمین حقوق بزه دیده به طریق دیگر امکان پذیر باشد فقط صدور قرار وثیقه جایز نیست. | 2) در صورتی که به تشخیص مقام قضایی تضمین حقوق بزه دیده به طریق دیگر امکان پذیر باشد، صدور قرار کفالت و وثیقه جایز نیست. | 3) صدور قرار کفالت و وثیقه جایز نیست. | 4) صدور قرار کفالت جایز است ولی صدور قرار وثیقه جایز نیست .
116,آیین دادرسی کیفری,در کدام یک از جرایم تعزیری زیر در صورت ارائه تضمین لازم برای جبران خسارات وارده مقام قضایی میتواند فقط به صدور قرار نظارت قضایی اکتفا کند؟,1) جرایم تعزیری درجه 7 ،6 و 8 | 2) فقط در جرایم تعزیری درجه 8 | 3) جرایم تعزیری درجه 6 و 7 | 4) جرایم تعزیری درجه  7 و 8
117,آیین دادرسی کیفری,کدام مورد در خصوص سوگند به عنوان یکی از ادله اثبات در امور کیفری، صحیح نیست؟,1) وکیل نمی تواند به جای موکل سوگند یاد کند حتی اگر در وکالت نامه چنین اختیاری داشته باشد. | 2) وکیل در دعوی در صورتی میتواند طرف دعوا را سوگند دهد که در وکالت نامه تصریح شده باشد. | 3) تقاضای سوگند قابل توکیل نیست. | 4) در حق الناس سوگند منوط به مطالبه صاحب حق است.
118,آیین دادرسی کیفری,اگر فردی در کرج متهم به ارتکاب جرم تعزیری درجه دو شود و پس از رسیدگی و صدور حکم در دادگاه کیفری یک کرج وکیل متهم اقدام به فرجام خواهی نماید و شعبه دیوان عالی کشور به یکی از جهات قانونی متهم را قابل تعقیب نداند چه تصمیمی اتخاذ میشود؟,1) پس از نقض رأی، پرونده به دادگاه هم عرضی دادگاه کیفری یک کرج ارجاع میشود . | 2) رأی صادر شده نقض بلا ارجاع میشود. | 3) شعبه دیوان عالی کشور رأی صادر شده را نقض نموده و حکم برائت متهم را صادر میکند . | 4) پرونده برای رسیدگی و صدور حکم برانت به دادگاه کیفری یک کرج ارجاع میشود .
119,آیین دادرسی کیفری,در مورد احکام قطعی راجع به حقوق عامه و دعاوی مربوط به دولت امور خیریه و اوقاف عامه و امور محجورین و غایب مفقود الاثر بی سرپرست در چه صورتی دادستان کل کشور مراتب را جهت اعمال ماده  477 قانون آیین دادرسی کیفری به رئیس قوه قضاییه اعلام می کند؟,1) صرفاً در مواردی که حکم مذکور را خلاف شرع بین تشخیص دهد. | 2) فقط در صورتی که حکم مذکور را خلاف قانون تشخیص دهد. | 3) چنین اختیار یا تکلیفی در قانون برای دادستان کل کشور پیش بینی نشده است. | 4) در صورتی که حکم مذکور را خلاف شرع بین یا قانون تشخیص دهد.
